Music_id,Music_title,Music_artist,Grade
3452213,1월부터 6월까지 (Feat. 윤종신),015B,94.225
3620493,안아줘,정준일,93.02499999999999
3964483,힐링이 필요해,로이킴,92.0
8071102,이 사랑,다비치,93.60000000000001
30120986,이 바보야,정승환,95.9
31002496,Strawberries & Cigarettes,Troye Sivan,63.375
30190630,첫눈처럼 너에게 가겠다,에일리,96.65
7928705,YOUTH,Troye Sivan,62.725
30948698,꽃 길,BIGBANG,96.7
31164090,동화,멜로망스,62.075
30884950,그때 헤어지면 돼,로이킴,95.875
30962526,"모든 날, 모든 순간 (Every day, Every Moment)",폴킴,84.35
30380953,There`s Nothing Holdin` Me Back,Shawn Mendes,91.725
8252569,사랑은 늘 도망가 (로맨틱 흑기사),로이킴,95.425
30755375,그날처럼,장덕철,93.0
5760115,IF YOU,BIGBANG,60.125
30699142,지나오다,닐로 (Nilo),82.375
8203900,너였다면,정승환,86.075
30486509,좋니,윤종신,89.425
2654264,그대를 사랑하는 10가지 이유,이석훈,58.825
30779236,Never Be the Same,Camila Cabello,58.5
8037848,Up All Night,Charlie Puth,58.175000000000004
30550293,사랑하지 않은 것처럼,버즈,86.025
4281881,그래도 나 사랑하지,스웨덴세탁소,57.525
3835596,Lucky Strike,Maroon 5,57.2
30970444,소나기 (Feat. 10cm),용준형,81.375
30877002,눈사람,정승환,91.375
30969769,In My Blood,Shawn Mendes,56.225
4374667,Happy (Gru`s Theme From Despicable Me 2),Pharrell Williams,55.9
30745316,To.,소란 (SORAN),87.075
4743560,Lost Stars,Adam Levine (Maroon 5),73.975
30244931,봄날,방탄소년단,79.775
4342072,How Long Will I Love You,Ellie Goulding,80.15
8194007,오늘,오왠 (O.WHEN),54.275
5459268,Uptown Funk (Feat. Bruno Mars),Mark Ronson,53.95
30611679,pet,10cm,77.425
30855818,The Middle,"Zedd, Grey, Maren Morris",53.300000000000004
30205712,Despacito (Feat. Daddy Yankee),Luis Fonsi,80.1
1331699,Sunday Morning,Maroon 5,52.65
30310655,오래전 그날,로이킴,86.8
8034161,Cheap Thrills,Sia,52.0
30721801,My Way,이수 (엠씨 더 맥스),74.42500000000001
30037874,Don`t Wanna Know (Feat. Kendrick Lamar),Maroon 5,51.35
2960594,가끔 미치도록 네가 안고 싶어질 때가 있어,가을방학,72.19999999999999
30105101,Oops (Feat. Charlie Puth),Little Mix,50.7
30708530,Palace (애플 크리스마스 광고 삽입곡),Sam Smith,50.375
5398990,이 소설의 끝을 다시 써보려 해,한동근,76.125
7942813,When We Were Young,Adele,49.725
4630555,Problem (Feat. Iggy Azalea),Ariana Grande,67.94999999999999
31085300,Where Were You In The Morning?,Shawn Mendes,49.075
30181278,오랜 날 오랜 밤,악동뮤지션,75.7
30572632,Meant to Be,"Bebe Rexha, Florida Georgia Line",48.425000000000004
30021737,"우리, 여행",소란 (SORAN),79.95
30717645,Snowman,Sia,47.775
31126250,Dance To This (Feat. Ariana Grande),Troye Sivan,47.45
460396,소주 한 잔,임창정,67.425
9636473,The Greatest (Feat. Kendrick Lamar),Sia,46.800000000000004
4774191,Bang Bang,"Jessie J, Ariana Grande, Nicki Minaj",46.475
30623493,Too Good At Goodbyes,Sam Smith,65.57499999999999
30380968,Attention,Charlie Puth,45.825
5557084,Worth It (Feat. Kid Ink) (DJ 소다 피리춤 송),Fifth Harmony,45.5
8111603,HandClap,Fitz & The Tantrums,66.17500000000001
8117935,"i hate u, i love u (Feat. olivia o`brien) (Album Ver.)",gnash,44.85
30608019,What Lovers Do (Feat. SZA),Maroon 5,44.525
30102883,City Of Stars (영화 라라랜드 삽입곡 (La La Land OST)),"Ryan Gosling, Emma Stone",44.2
7899235,Hello,Adele,43.875
30600607,Look What You Made Me Do,Taylor Swift,43.550000000000004
4066039,Counting Stars,OneRepublic,66.675
31029291,2002,Anne-Marie,42.9
