Music_id,Music_title,Music_artist
30877002,눈사람,정승환
8252569,사랑은 늘 도망가 (로맨틱 흑기사),로이킴
30310655,오래전 그날,로이킴
30948698,꽃 길,BIGBANG
30884950,그때 헤어지면 돼,로이킴
30745314,연애 같은 걸 하니까,소란 (SORAN)
30568338,에너제틱 (Energetic),Wanna One (워너원)
30190630,첫눈처럼 너에게 가겠다,에일리
30637776,이 별,길구봉구
5413256,12시 30분,비스트
30613202,시차 (We Are) (Feat. 로꼬 & GRAY),우원재
31093710,여행,볼빨간사춘기
30310862,얼굴 찌푸리지 말아요,하이라이트 (Highlight)
30755375,그날처럼,장덕철
30286429,MOVIE,비투비
30120986,이 바보야,정승환
30021732,Sunshine,소란 (SORAN)
30021737,"우리, 여행",소란 (SORAN)
8252588,리본 (Ribbon),비스트
30745316,To.,소란 (SORAN)
30633539,사랑해,BOBBY
7870707,AIRPLANE,iKON
4285746,혹시 자리 비었나요?,소란 (SORAN)
30477180,Perfect Day,소란 (SORAN)
30380953,There`s Nothing Holdin` Me Back,Shawn Mendes
7854179,취향저격,iKON
30486509,좋니,윤종신
30200848,너를 공부해,소란 (SORAN)
30414360,이기주의보,로이킴
30567963,Havana (Feat. Young Thug),Camila Cabello
8071102,이 사랑,다비치
4153481,Love Love Love,로이킴
3452213,1월부터 6월까지 (Feat. 윤종신),015B
30021731,나만 알고 싶다,소란 (SORAN)
5466962,스토커,10cm
3759735,살빼지 마요,소란 (SORAN)
4285745,리코타 치즈 샐러드,소란 (SORAN)
3620493,안아줘,정준일
30550293,사랑하지 않은 것처럼,버즈
1944399,Timeless,SG 워너비
4660794,I`m Not The Only One,Sam Smith
3964483,힐링이 필요해,로이킴
3894276,오래된 노래,스탠딩 에그
30689468,결혼,문문 (MoonMoon)
30205712,Despacito (Feat. Daddy Yankee),Luis Fonsi
30181278,오랜 날 오랜 밤,악동뮤지션
30000525,너를 보네 (Feat. 권정열 Of 10cm),소란 (SORAN)
8203900,너였다면,정승환
8124376,7 Years,Lukas Graham
5406680,영원한 건 없지만,로이킴
5398990,이 소설의 끝을 다시 써보려 해,한동근
4451155,겨울을 걷는다,윤딴딴
711627,죄와벌,SG 워너비
4342072,How Long Will I Love You,Ellie Goulding
3972199,스쳐간다,로이킴
30657307,썸 탈꺼야,볼빨간사춘기
30611680,폰서트,10cm
30244931,봄날,방탄소년단
7847510,통근버스,9 (9와 숫자들)
30970444,소나기 (Feat. 10cm),용준형
30393293,Thunder,Imagine Dragons
8124417,봄이 좋냐??,10cm
30859584,사랑을 했다 (LOVE SCENARIO),iKON
30611679,pet,10cm
4091105,봄봄봄,로이킴
4066039,Counting Stars,OneRepublic
3992620,Creep,"로이킴, 정준영"
3833288,앵콜요청금지,브로콜리너마저
30962526,"모든 날, 모든 순간 (Every day, Every Moment)",폴킴
30721801,My Way,이수 (엠씨 더 맥스)
30699142,지나오다,닐로 (Nilo)
30399360,미치고 싶다,한동근
5495296,사랑에 빠지고 싶다,정승환
4583481,Give Love,악동뮤지션
30833415,My My My!,Troye Sivan
30688990,그 사람을 아나요,임창정
30657308,Blue,볼빨간사춘기
30188113,Shape of You,Ed Sheeran
2960594,가끔 미치도록 네가 안고 싶어질 때가 있어,가을방학
8111603,HandClap,Fitz & The Tantrums
8033528,어디에도,엠씨더맥스
732512,겁쟁이,버즈
686643,내가 너의 곁에 잠시 살았다는 걸,김범수
460396,소주 한 잔,임창정
4582959,인연,"윤민수, 신용재 (포맨)"
4512170,흔한 노래,임창정
3526967,안아줘요,10cm
30657311,나의 사춘기에게,볼빨간사춘기
30623493,Too Good At Goodbyes,Sam Smith
30314784,밤편지,아이유
8037846,We Don`t Talk Anymore (Feat. Selena Gomez),Charlie Puth
5832034,One Call Away,Charlie Puth
4743560,Lost Stars,Adam Levine (Maroon 5)
4630555,Problem (Feat. Iggy Azalea),Ariana Grande
3846771,별사탕 (Feat. 범키),이루펀트
315872,잠시만 안녕 (Original),엠씨더맥스
31062863,열애중,벤
31034284,No Tears Left To Cry,Ariana Grande
31006730,What is Love?,TWICE (트와이스)
30536155,DINOSAUR,악동뮤지션
